Transaction Date,Post Date,Description,Category,Type,Amount
2024-01-15,2024-01-15,GROCERY STORE WHOLE FOODS,Food,debit,125.50
2024-01-16,2024-01-16,SALARY PAYMENT,Income,credit,3000.00
2024-01-17,2024-01-17,GAS STATION EXXON,Transportation,debit,45.00
2024-01-18,2024-01-18,RESTAURANT CHIPOTLE,Food,debit,12.50
2024-01-19,2024-01-19,UTILITY BILL WATER,Utilities,debit,75.00
2024-01-20,2024-01-20,AMAZON PRIME SUBSCRIPTION,Entertainment,debit,14.99
2024-01-21,2024-01-21,PHARMACY WALGREENS,Health,debit,35.00
2024-01-22,2024-01-22,COFFEE SHOP LOCAL,Food,debit,4.50
2024-01-23,2024-01-23,TRANSFER TO SAVINGS,Transfer,debit,500.00
2024-01-24,2024-01-24,GROCERY STORE TRADER JOES,Food,debit,68.25

