Date,Description,Amount,Balance
2024-01-02,Salary Deposit,3000.00,5000.00
2024-01-03,GROCERY STORE #1234,-45.67,4954.33
2024-01-05,AMAZON.COM PURCHASE,-89.99,4864.34
2024-01-07,GAS STATION SHELL,-35.50,4828.84
2024-01-10,COFFEE SHOP STARBUCKS,-5.50,4823.34
2024-01-12,UTILITY BILL ELECTRIC,-120.00,4703.34
2024-01-15,RESTAURANT OLIVE GARDEN,-45.00,4658.34
2024-01-18,PHARMACY CVS,-25.99,4632.35
2024-01-20,ONLINE TRANSFER TO SAVINGS,-500.00,4132.35
2024-01-22,GROCERY STORE #1234,-78.45,4053.90
2024-01-25,NETFLIX SUBSCRIPTION,-15.99,4037.91
2024-01-28,GAS STATION SHELL,-32.00,4005.91
2024-01-30,RESTAURANT MCDONALDS,-12.50,3993.41

